Title,store,description,"sale commission","click url",destination,"link id","link type","coupon code","promotion type","promotion start date","promotion end date"
"Exam Edge CTCE Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your CTCE Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13331160-1608148945000,https://www.ExamEdge.com/CTCE,13331160,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge MCA Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your MCA Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13331174-1608148945000,https://www.ExamEdge.com/MEGA,13331174,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge PECT Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your PECT Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13331207-1608148945000,https://www.ExamEdge.com/PECT,13331207,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge AACN Nursing Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your AACN Nursing certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13331096-1608148945000,https://www.ExamEdge.com/AACN,13331096,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NFPT Fitness Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NFPT Fitness certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13344623-1608148945000,https://www.ExamEdge.com/NFPT,13344623,"Text Link",SAVE-NFPT,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NCSBN Nursing Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NCSBN Nursing certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13344634-1608148945000,https://www.ExamEdge.com/NCLEX,13344634,"Text Link",SAVE-NCSB,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NNCC Nursing Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NNCC Nursing certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13344637-1608148945000,https://www.ExamEdge.com/NNCC,13344637,"Text Link",SAVE-NNCC,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NDAEB Dental Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NDAEB Dental certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13344441-1608148945000,https://www.ExamEdge.com/NDAEB,13344441,"Text Link",SAVE-NDAE,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NHA Healthcare Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NHA Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13344443-1608148945000,https://www.ExamEdge.com/NHA,13344443,"Text Link",SAVE-NHA,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NCSF Fitness Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NCSF Fitness certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13344454-1608148945000,https://www.ExamEdge.com/NCSF,13344454,"Text Link",SAVE-NCSF,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NESTA Fitness Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NESTA Fitness certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13344458-1608148945000,https://www.ExamEdge.com/NESTA,13344458,"Text Link",SAVE-NEST,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on AAMA Healthcare Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your AAMA Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13344471-1608148945000,https://www.ExamEdge.com/AAMA,13344471,"Text Link",SAVE-AAMA,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge Radiology Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for Radiology certifications. We offer practice exams covering 12 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!
",15.00%,https://www.jdoqocy.com/click-100179843-13280357-1608148945000,https://www.examedge.com/Radiology/,13280357,Banner,SAVE-CJ10,Coupon,"2019-03-21 10:00:00","2022-05-21 21:00:00"
"Exam Edge Radiology Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for Radiology certifications. We offer practice exams covering 12 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!
",15.00%,https://www.dpbolvw.net/click-100179843-13280353-1608148945000,https://www.examedge.com/Radiology/,13280353,Banner,SAVE-CJ10,Coupon,"2019-03-21 10:00:00","2022-05-21 21:00:00"
"Exam Edge Radiology Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for Radiology certifications. We offer practice exams covering 12 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!
",15.00%,https://www.jdoqocy.com/click-100179843-13280345-1608148945000,https://www.examedge.com/Radiology/,13280345,Banner,SAVE-CJ10,Coupon,"2019-03-21 10:00:00","2022-05-21 21:00:00"
"Exam Edge - Act now and save 10% on ATAS Teaching Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your ATAS Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13344483-1608148945000,https://www.ExamEdge.com/ATAS,13344483,"Text Link",SAVE-ATAS,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on OMSB International Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your OMSB International certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13344490-1608148945000,https://www.ExamEdge.com/OMSB,13344490,"Text Link",SAVE-OMSB,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge ARRT Radiology Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your ARRT Radiology certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.anrdoezrs.net/click-100179843-13331105-1608148945000,https://www.ExamEdge.com/ARRT,13331105,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge AEPA Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your AEPA Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13331139-1608148945000,https://www.ExamEdge.com/AEPA,13331139,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge ACT College Placement Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your ACT College Placement certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13331240-1608148945000,https://www.ExamEdge.com/ASSET,13331240,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge GED High School Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your GED High School certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13331267-1608148945000,https://www.ExamEdge.com/TASC,13331267,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge CORE Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your CORE Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13331158-1608148945000,https://www.ExamEdge.com/CORE,13331158,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge CTC Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your CTC Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13331124-1608148945000,https://www.ExamEdge.com/CSET,13331124,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge ANCC Nursing Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your ANCC Nursing certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.anrdoezrs.net/click-100179843-13331138-1608148945000,https://www.ExamEdge.com/ANCC,13331138,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge PAX Healthcare Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your PAX Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13331196-1608148945000,https://www.ExamEdge.com/PAX,13331196,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge TEXES Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your TEXES Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.anrdoezrs.net/click-100179843-13331222-1608148945000,https://www.ExamEdge.com/TEXES,13331222,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge CDR Healthcare Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your CDR Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13331231-1608148945000,https://www.ExamEdge.com/ADA,13331231,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge ASPT Healthcare Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your ASPT Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13331235-1608148945000,https://www.ExamEdge.com/ASPT,13331235,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge AAFCS Service Industry Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your AAFCS Service Industry certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13331261-1608148945000,https://www.ExamEdge.com/FCS,13331261,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge FSBPT Healthcare Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your FSBPT Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13331262-1608148945000,https://www.ExamEdge.com/FSBPT,13331262,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge ASCP Medical Laboratory Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your ASCP Medical Laboratory certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13331101-1608148945000,https://www.ExamEdge.com/ASCP,13331101,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge CLAST College Placement Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your CLAST College Placement certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13331120-1608148945000,https://www.ExamEdge.com/CLAST,13331120,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge CTCE Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your CTCE Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13331125-1608148945000,https://www.ExamEdge.com/CTCE,13331125,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge NYSTCE Teaching Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for your NYSTCE Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.anrdoezrs.net/click-100179843-13331199-1608148945000,https://www.ExamEdge.com/CST,13331199,"Text Link",SAVE-CJ10,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - save 10%","Exam Edge","Exam Edge is a leading provider of online certification prep tests.  We offer practice exams in over 20 industries covering over 1800 subjects.  Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13277791-1608148945000,https://www.examedge.com,13277791,Banner,SAVE-CJ10,Coupon,"2018-03-21 10:00:00","2025-03-21 21:00:00"
"Exam Edge Teaching Certifications - Save 10%","Exam Edge","Save 10% with promo code SAVE-CJ10 on Exam Edge's online certification prep tests for teachers. We offer practice exams covering over 1100 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13278833-1608148945000,https://www.examedge.com/teaching,13278833,Banner,SAVE-CJ10,Coupon,"2018-03-24 21:00:00","2022-03-25 21:00:00"
"Exam Edge Teaching Certifications - Save 10%","Exam Edge","Save 10% with promo code SAVE-CJ10 on Exam Edge's online certification prep tests for teachers. We offer practice exams covering over 1100 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13278845-1608148945000,https://www.examedge.com/teaching,13278845,Banner,SAVE-CJ10,Coupon,"2018-03-24 21:00:00","2022-03-25 21:00:00"
"Exam Edge Teaching Certifications - Save 10%","Exam Edge","Save 10% with promo code SAVE-CJ10 on Exam Edge's online certification prep tests for teachers. We offer practice exams covering over 1100 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13278844-1608148945000,https://www.examedge.com/teaching,13278844,Banner,SAVE-CJ10,Coupon,"2018-03-24 21:00:00","2022-03-25 21:00:00"
"Exam Edge Teaching Certifications - Save 10%","Exam Edge","Save 10% with promo code SAVE-CJ10 on Exam Edge's online certification prep tests for teachers. We offer practice exams covering over 1100 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13278849-1608148945000,https://www.examedge.com/teaching,13278849,Banner,SAVE-CJ10,Coupon,"2018-03-24 21:00:00","2022-03-25 21:00:00"
"Exam Edge Health Care - Save 10%","Exam Edge","Exam Edge is a leading provider of online certification prep tests for Healthcare. We offer practice exams covering over 400 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13280217-1608148945000,https://www.examedge.com/healthcare,13280217,Banner,SAVE-CJ10,Coupon,"2019-03-21 10:00:00","2022-05-21 21:00:00"
"Exam Edge Radiology Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for Radiology certifications. We offer practice exams covering 12 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!
",15.00%,https://www.anrdoezrs.net/click-100179843-13280349-1608148945000,https://www.examedge.com/Radiology/,13280349,Banner,SAVE-CJ10,Coupon,"2019-03-21 10:00:00","2022-05-21 21:00:00"
"Exam Edge Radiology Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online test preparation for Radiology certifications. We offer practice exams covering 12 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!
",15.00%,https://www.kqzyfj.com/click-100179843-13280358-1608148945000,https://www.examedge.com/Radiology/,13280358,Banner,SAVE-CJ10,Coupon,"2019-03-21 10:00:00","2022-05-21 21:00:00"
"Exam Edge Nursing Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online certification prep tests for Nursing Exams. We offer practice exams covering over 100 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!
",15.00%,https://www.jdoqocy.com/click-100179843-13280404-1608148945000,https://www.examedge.com/nursing/,13280404,Banner,SAVE-CJ10,Coupon,"2019-03-21 10:00:00","2022-05-21 21:00:00"
"Exam Edge Nursing Certifications - Save 10%","Exam Edge","Exam Edge is a leading provider of online certification prep tests for Nursing Exams. We offer practice exams covering over 100 subjects. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!
",15.00%,https://www.jdoqocy.com/click-100179843-13280385-1608148945000,https://www.examedge.com/nursing/,13280385,Banner,SAVE-CJ10,Coupon,"2019-03-21 10:00:00","2022-05-21 21:00:00"
"Exam Edge - Act now and save 10% on APM International Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your APM International certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13344523-1608148945000,https://www.ExamEdge.com/APM,13344523,"Text Link",SAVE-APM,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on TASC High School Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your TASC High School certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13344538-1608148945000,https://www.ExamEdge.com/TASC,13344538,"Text Link",SAVE-TASC,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on CAHSEE High School Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your CAHSEE High School certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13344557-1608148945000,https://www.ExamEdge.com/CAHSEE,13344557,"Text Link",SAVE-CAHS,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on ORELA Teaching Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your ORELA Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13344660-1608148945000,https://www.ExamEdge.com/ORELA,13344660,"Text Link",SAVE-OREL,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on PSSA High School Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your PSSA High School certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.kqzyfj.com/click-100179843-13344665-1608148945000,https://www.ExamEdge.com/PSSA,13344665,"Text Link",SAVE-PSSA,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NCBDE Healthcare Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NCBDE Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.anrdoezrs.net/click-100179843-13344449-1608148945000,https://www.ExamEdge.com/NCBDE,13344449,"Text Link",SAVE-NCBD,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on OAE Teaching Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your OAE Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.anrdoezrs.net/click-100179843-13344487-1608148945000,https://www.ExamEdge.com/OAE,13344487,"Text Link",SAVE-OAE,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on PEBC Canadian Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your PEBC Canadian certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.anrdoezrs.net/click-100179843-13344498-1608148945000,https://www.ExamEdge.com/PEBC,13344498,"Text Link",SAVE-PEBC,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on HAAD International Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your HAAD International certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.jdoqocy.com/click-100179843-13344595-1608148945000,https://www.ExamEdge.com/HAAD,13344595,"Text Link",SAVE-HAAD,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NBDE Dental Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NBDE Dental certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.anrdoezrs.net/click-100179843-13344628-1608148945000,https://www.ExamEdge.com/NBDE,13344628,"Text Link",SAVE-NBDE,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on IAHCSMM Healthcare Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your IAHCSMM Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13344681-1608148945000,https://www.ExamEdge.com/IAHCSMM,13344681,"Text Link",SAVE-IAHC,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NBCC Healthcare Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NBCC Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13344445-1608148945000,https://www.ExamEdge.com/NBCC,13344445,"Text Link",SAVE-NBCC,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on NCSTATE Teaching Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your NCSTATE Teaching certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.dpbolvw.net/click-100179843-13344448-1608148945000,https://www.ExamEdge.com/NCSTATE,13344448,"Text Link",SAVE-NCST,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
"Exam Edge - Act now and save 10% on CBPPS Healthcare Practice Tests","Exam Edge","Exam Edge is a leading provider of online test preparation for your CBPPS Healthcare certifications. Our exams are content focused helping you become as prepared as possible for your certification exam. We want you to walk out of the real exam confident and knowing that your time preparing with ExamEdge.com was a success!",15.00%,https://www.tkqlhce.com/click-100179843-13344496-1608148945000,https://www.ExamEdge.com/PatientSafety,13344496,"Text Link",SAVE-CBPP,Coupon,"2018-05-01 21:00:00","2025-05-24 21:00:00"
